ID,AutoIds,Type,Name,Address,google-name,GScore,GRevCount,JScore,Tier,Must-Visit,Day,Note,Lat,Lon,LiveCensusLat,LiveCensusLon,store-pk,google-url
ATFY,ATFY1,Antique,All Things For You,"3136 W 14th St, Cleveland, OH 44109",All Things For You,4.6,56,3.0,Top,,,"Looks interesting, reads boutique a wee bit",41.468964215909,-81.691264834740,-Have Lat-,-Have Lon-,74,https://maps.app.goo.gl/7byeY8ZYh4YZ4nbD8
PG,PG1,Vintage,Paradise Galleria,"3910 Lorain Ave, Cleveland, OH 44113",Paradise Galleria,4.6,94,4.1,Top,must-visit,,Massive and funky,41.480752749907,-81.712500222034,-Have Lat-,-Have Lon-,75,https://maps.app.goo.gl/Xes3P3yND3P36ZUh6
PGCCA,PGCCA1,Thrift,PEARLS Girls' Community Closet at Malachi Center,"2416 Superior Viaduct, Cleveland, OH 44113",PEARLS Girls' Community Closet at Malachi Center,5.0,20,2.0,Mid,,,Seems small and not for me,41.492185192483,-81.707439709432,-Have Lat-,-Have Lon-,76,https://maps.app.goo.gl/pDJ8DVimRQ5UDBoc9
SS,SS3,Vintage,Spooky's Studio,"2138 W 25th St, Cleveland, OH 44113",Spooky's Studio,5.0,7,2.0,Mid,,,Seems to have a sports spin,41.482486567830,-81.702076102983,-Have Lat-,-Have Lon-,77,https://maps.app.goo.gl/zY365ZJdofu6GJ1JA
VNTG,VH,Furniture,VNTG Home,"1235 Marquette St, Cleveland, OH 44114",VNTG Home,4.1,106,2.0,Top,,,Seems to be a staging + furniture + refurb company,41.523587040736,-81.654029843480,-Have Lat-,-Have Lon-,78,https://maps.app.goo.gl/C355CmRdiqUBEXJEA
TSYRS,TSYRS1,Thrift,The Salvage Yard Resale Shoppe,"22935 Lorain Rd, Fairview Park, OH 44126",The Salvage Yard Resale Shoppe,4.7,135,3.6,Top,,,"Something going on here, worth checking out",41.437401666580,-81.874219768284,-Have Lat-,-Have Lon-,79,https://maps.app.goo.gl/UR1bgsR3YqA2ju218
RUST,R,Furniture,Rusticisle,"27146 Cook Rd, Olmsted Township, OH 44138",Rusticisle,4.8,16,0.1,Mid,,,Defaced vintage FURNITURE STORE,41.383757324972,-81.947700522836,-Have Lat-,-Have Lon-,80,https://maps.app.goo.gl/RNhuGXpLM1o7QHGz7
STA,STA1,Antique,Second Thyme Around,"8153 Orchard St, Olmsted Falls, OH 44138",Second Thyme Around,4.8,139,3.4,Mid,,,"Interesting, but borderline. May be something]",41.373804872716,-81.902811342611,-Have Lat-,-Have Lon-,81,https://maps.app.goo.gl/4GSN1zgvsw9CBzcw5
ASVC,ASVC1,Vintage,A Signature Vintage Clothing,"2208 Front St, Cuyahoga Falls, OH 44221",A Signature Vintage Clothing,4.7,13,1.5,Mid,,,"Exterior shows potential, but meh (also far out of the way near Akron)",41.136135084495,-81.482948692070,-Have Lat-,-Have Lon-,82,https://maps.app.goo.gl/g7Jyoix7n2fNiaUQ7
AVAT,AVAT1,Thrift,Amelia's Vintage and Thrift,"9058 OH-14, Streetsboro, OH 44241",Amelia's Vintage and Thrift,4.7,72,2.5,Mid,,,Has fabric! But out the way,41.145145500000,-81.636156800000,-Have Lat-,-Have Lon-,83,https://maps.app.goo.gl/CmNgVMz2jrKvNESeA
BSS,BSS1,Nautical,Big Ship Salvage,"11001 US Hwy 250 N unit d-1, Milan, OH 44846",Big Ship Salvage,4.7,44,5.0,Top,must-visit,,,41.327814088911,-82.620663899344,-Have Lat-,-Have Lon-,84,https://maps.app.goo.gl/fkpWPfwYWSAVipvS9
OSW,OSW1,ArchSalvage,Old School Warehouse,"21 N Hamilton St, Monroeville, OH 44847",Old School Warehouse,4.9,18,2.8,Top,,,"Neat building, but not really doing ArchSalv",41.243728853697,-82.692132998183,-Have Lat-,-Have Lon-,85,https://maps.app.goo.gl/JwaZMu33CBz6WAtAA
