Zip,Name,MedianIncome,PctHH_100kPlus,PctRenters,Population,AcsYear,Dataset,FetchedAtUtc,Status,ErrorMessage,RentersCount,OccupiedCount,HHCount_100kPlus,HHCountTotal
15613,ZCTA5 15613,73600,49.475,17.242,12732,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,919,5330,2637,5330
15615,ZCTA5 15615,85542,57.143,0.000,164,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,0,91,52,91
15616,ZCTA5 15616,113363,72.330,4.369,433,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,9,206,149,206
15617,ZCTA5 15617,96250,56.800,12.000,246,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,15,125,71,125
15618,ZCTA5 15618,57353,40.892,18.401,2388,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,198,1076,440,1076
15619,ZCTA5 15619,,52.500,14.000,472,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,28,200,105,200
15620,ZCTA5 15620,55938,35.573,26.877,681,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,68,253,90,253
15622,ZCTA5 15622,81771,53.057,12.229,1052,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,62,507,269,507
15623,ZCTA5 15623,54926,33.333,20.769,1026,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,81,390,130,390
15624,ZCTA5 15624,,53.937,27.165,489,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,69,254,137,254
15625,ZCTA5 15625,78036,56.250,0.000,80,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,0,48,27,48
15626,ZCTA5 15626,67337,47.009,31.725,5168,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,822,2591,1218,2591
15627,ZCTA5 15627,56653,38.881,20.361,5956,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,553,2716,1056,2716
15628,ZCTA5 15628,60648,40.291,31.068,423,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,64,206,83,206
15629,ZCTA5 15629,55724,34.983,32.013,650,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,97,303,106,303
15631,ZCTA5 15631,57639,28.713,42.244,656,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,128,303,87,303
15632,ZCTA5 15632,94157,62.180,16.322,8886,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,599,3670,2282,3670
15633,ZCTA5 15633,109000,71.134,0.000,595,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,0,194,138,194
15634,ZCTA5 15634,46359,22.176,35.146,471,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,84,239,53,239
15635,ZCTA5 15635,31083,11.304,75.652,173,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,87,115,13,115
15636,ZCTA5 15636,151250,77.883,14.565,3839,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,216,1483,1155,1483
15637,ZCTA5 15637,69722,43.816,16.053,1889,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,122,760,333,760
15638,ZCTA5 15638,,0.000,100.000,34,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,34,34,0,34
