zip,name,median_income,pct_hh_100k_plus,pct_renters,population,acs_year,dataset,fetched_at_utc,status,error_message,renters_count,occupied_count,hh_count_100k_plus,hh_count_total
10199,ZCTA5 10199,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10271,ZCTA5 10271,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10278,ZCTA5 10278,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10279,ZCTA5 10279,250001,100.000,100.000,181,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,62,62,62,62
10280,ZCTA5 10280,206250,91.189,67.598,8668,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,2854,4222,3850,4222
10282,ZCTA5 10282,250001,92.028,89.164,5960,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,2304,2584,2378,2584
10301,ZCTA5 10301,84937,54.900,55.405,39799,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,7995,14430,7922,14430
10302,ZCTA5 10302,76089,50.771,43.286,19693,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,2666,6159,3127,6159
10303,ZCTA5 10303,79429,53.592,37.680,25993,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,3294,8742,4685,8742
10304,ZCTA5 10304,71506,48.522,50.591,45843,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,8044,15900,7715,15900
10305,ZCTA5 10305,86294,58.662,35.039,41714,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,5479,15637,9173,15637
10306,ZCTA5 10306,97746,61.025,28.736,57249,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,5703,19846,12111,19846
10307,ZCTA5 10307,138807,77.293,16.553,14821,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,850,5135,3969,5135
10308,ZCTA5 10308,122654,69.098,20.265,29996,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,2092,10323,7133,10323
10309,ZCTA5 10309,123638,66.353,21.250,34918,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,2573,12108,8034,12108
10310,ZCTA5 10310,106118,60.866,43.465,25824,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,3904,8982,5467,8982
10311,ZCTA5 10311,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
10312,ZCTA5 10312,111434,68.230,18.441,63345,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,3940,21366,14578,21366
10314,ZCTA5 10314,104655,62.504,25.376,93539,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,7973,31419,19638,31419
10451,ZCTA5 10451,37111,26.366,86.369,48975,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,18495,21414,5646,21414
